"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"29561","ko","aT센터","https://korean.visitseoul.net/attractions/aT센터/KOP029561?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029561"," 서울 서초구 양재동 232 ","06774 서울 서초구 강남대로 27 (양재동, AT센터) ","02-6300-1114","","http://atcenter.at.or.kr/","","","","지하철 신분당선 양재시민의숲역 4번 출구,  60m"," 전시,박람회, 교역전, 양재시민의숲역,aT센터,컨벤션,MICE,국제회의, 회의실",""
"43607","ko","상진다방","https://korean.visitseoul.net/attractions/2023056/KOP4630x7?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP4630x7"," 서울 영등포구 문래동2가 14-84 ","07290 서울 영등포구 도림로133길 9 (문래동2가, 상진빌딩) ","02-2677-3554","","","월~금 07:00 - 18:00 토요일 07:00 - 15:00","월~토","일요일","2호선 문래역 7번출구에서 470m","쌍화차, 오래가게, 문래철공단지, 문래창작촌, 다방, 문래동, 배달전문",""
"25060","ko","갤러리 3안","https://korean.visitseoul.net/attractions/gallerly-3ann-kr/KOP025060?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP025060","110-230 서울 종로구 삼청동 27-22 ","03053 서울 종로구 북촌로 137-7 (삼청동) ","02-720-2722","","https://www.gallery3ann.com/","10:30 - 18:30","화요알~토요일","-일요일, 월요일","3호선 안국역 2번 출구 (종로 마을버스 02번 감사원 정류장 하차) 5호선 광화문역 4번 출구 (종로 마을버스 11번 탑승 후 교육과정평가원 정류장 하차)"," 예술,삼청동전시회, 갤러리,갤러리3안, 갤러리카페3안, 미술관, 광화문역,삼청동갤러리, 전시",""
"23629","ko","서울시립과학관","https://korean.visitseoul.net/attractions/scienceseoul/KOP023629?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023629"," 서울 노원구 하계동 21 ","01792 서울 노원구 한글비석로 160 (하계동, 서울시립과학관) ","02-970-4500","","http://science.seoul.go.kr/","09:30 ~ 17:30","화~일","-월요일 (공휴일 겹칠시 화요일 휴관) -1월 1일 -설날, 추석 당일","7호선 하계역 3번 출구 도보 15분","서울시립과학관,과학전시, 서울과학관, 시립과학관,전시,과학전시장,하계역, 과학, 과학프로그램, 서울여행",""
"50533","ko","e스포츠 명예의 전당","https://korean.visitseoul.net/attractions/esports-history/KOPfpky3x?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPfpky3x"," 서울 마포구 상암동 1648 ","03909  서울시 마포구 매봉산로 31 에스플렉스센터 시너지움 11층 ","070-4225-0975","","http://esportshistory.kr","11:00-18:00","","매주 월요일","지하철 6호선/공항철도/경의중앙 디지털미디어시티역 9번출구, 811m","e스포츠 명예의 전당,전시관,e스포츠 전시,서울전시,스튜디오체험,VR",""
"37891","ko","아쿠아플라넷63","https://korean.visitseoul.net/attractions/아쿠아플라넷63/KOP037891?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037891"," 서울 영등포구 여의도동 60 ","07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩) ","02-1833-7001","","https://www.aquaplanet.co.kr/63/index.do","10:00 ~ 19:00 (입장마감 18:30)","매일","","","서울,서울비올때,서울데이트,서울아이와가볼만한곳,아쿠아,아쿠아플라넷63,아쿠아리움추천,서울아쿠아리움,서울실내장소,서울놀거리,63빌딩,실내데이트,아쿠아리움",""
"1306","ko","용산가족공원","https://korean.visitseoul.net/attractions/용산가족공원/KOP001306?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001306","140-026 서울 용산구 용산동6가 68-90 ","04383 서울 용산구 서빙고로 185 (용산공원) ","	02-792-5661","","	http://munha.yongsan.go.kr/pms/contents/contents.do?contseqn=1018&sitecdv=S0000701&decorator=user07Ct&menucdv=01020200","24:00 ~ 23:59  연중 24시간 개방","월화수목금토일","","4호선 이촌역 2번 출구 도보 5분    중앙선 서빙고역 1번 출구 도보 5분","용산가족공원, 공원, 자연",""
"33743","ko","서울역사박물관 온라인 교육 서비스","https://korean.visitseoul.net/attractions/서울역사박물관-온라인-교육-서비스/KOP033743?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP033743"," 서울 종로구 신문로2가 2-1 ","03177 서울 종로구 새문안로 55 (신문로2가) ","02-724-0274","","https://museum.seoul.go.kr/www/edu/eduSch/eduSch2th.jsp?sso=ok","","","","1호선 시청역 1,2,3번 출구 / 5호선 광화문역 7,8번 출구 / 5호선 서대문역 4번 출구"," 박물관, 온라인교육서비스, 온라인체험,박물관유물, 역사공부, 시청역,교육,서울역사박물관","장애인화장실,장애인 전용 주차장,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"43001","ko","갤러리 광화","https://korean.visitseoul.net/attractions/Pandemic-X-Design-plus-Future-/KOPj466sq?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPj466sq","03183 서울 종로구 신문로1가 2 1층,2층","03183 서울 종로구 새문안로 103 (신문로1가, 갤러리광화) 1층,2층","070-8287-2208","","http://seoulvibe.kr","금, 토, 일, 월 10:00 ~ 19:30 (입장마감 19:00)","전일 운영","","지하철 5호선, 광화문역,7번 출구 ","갤러리광화, 광화문광장, 미디어전시회, 미디어아트, mediaart,seoul, delight?Seoul",""
"43458","ko","JS슈즈디자인연구소","https://korean.visitseoul.net/attractions/2023048/KOPaw1wws?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPaw1wws"," 서울 성동구 성수동2가 315-10 2층 ","04775 서울 성동구 연무장길 57 (2층) ","010-5204-1060","","http://www.xn--js-xw5jh5u.kr/","평일 09:00~19:00, 주말 10:00~19:00","매일","없음","지하철 2호선 성수역 3번출구,  269m"," 여자구두, 전태수수제화, 남자구두, 수제화, 성수동카페거리, 성수,오래가게",""
"27232","ko","삼청로 안내소","https://korean.visitseoul.net/attractions/삼청로-안내소/KOP027232?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027232","110-210 서울 종로구 화동 61 ","03053 서울 종로구 삼청로 68 (안송빌딩) ","+82-2-723-9472","","http://www.sta.or.kr","10:00~19:00 (KST)","","설, 추석 당일 휴무","3호선 안국역 1번 출구","삼청동,여행,관광안내소,삼청로-안내소,여행,안내소",""
"1962","ko","생각꿈틀미술관","https://korean.visitseoul.net/attractions/생각꿈틀미술관/KOP001962?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001962"," 서울 서초구 양재2동 310 언남고등학교 내 언남문화체육센터 ","06780 서울특별시 서초구 동산로 55, 언남고등학교 내 언남문화체육센터 (양재동) ","02-578-0270","","","평일 및 토요일 AM 10:00 ~ PM 06:00","월화수목금토","일요일?공휴일 휴관","신분당선 양재시민의 숲(매헌) 2번 출구 도보 10분","양재동미술관,언남고등학교,문화,체험학습,전시,전시,언남문화체육센터,생각꿈틀미술관,생각꿈틀언남문화체육센터,체험학습,문화, 양재시민의숲역미술관,양재동미술관,미술관",""
"33824","ko","서울도시재생이야기관","https://korean.visitseoul.net/attractions/서울도시재생이야기관/KOP033824?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP033824"," 서울 종로구 신문로2가 6 도시재생이야기관","03178 서울 종로구 송월길 2 (신문로2가, 서울도시건축센터) ","070-4160-3963","","https://surc.or.kr/story","화요일~일요일 10:00~19:00 (월요일?공휴일 휴관) ","","","5호선 서대문역 4번출구","도시재생,돈의문박물관마을,핸즈인서울,서울도시재생이야기관, 이야기관",""
"43510","ko","합덕슈퍼","https://korean.visitseoul.net/attractions/Hapdeok/KOPfz3wx0?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPfz3wx0"," 서울 용산구 한남동 685-1 ","04400 서울 용산구 이태원로42길 20 (한남동) ","","","","매일 10:00 ~ 22:00","","","6호선 이태원역 3번 출구","합덕슈퍼, 이태원 편의점, 오래가게",""
"36048","ko","스마트서울 전시관","https://korean.visitseoul.net/attractions/스마트서울전시관/KOP036048?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP036048"," 서울 중구 태평로1가 31 ","04524 서울 중구 세종대로 110 (태평로1가, 서울특별시청)  B1","02-2133-7874","","http://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2410","10:00~18:00(입장마감 17:30)","월요일 ~ 토요일","1월 1일, 설날/추석 당일, 매월 마지막 일요일","1호선 시청역 4번 출구, 2호선 을지로입구역 하차 후 서울시청 방면 지하 연결출구","스마트도시,서울전시,서울갈만한곳,서울 전시관,서울전시관데이트,스마트서울","장애인화장실,엘리베이터,접근가능,장애인 전용 주차장"
"20193","ko","스튜디오 콘크리트","https://korean.visitseoul.net/attractions/스튜디오콘크리트/KOP020193?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP020193","140-894 서울 용산구 한남동 795-3 ","04417 서울 용산구 한남대로 162 (한남동) ","02-794-4095","","http://www.studio-ccrt.com","11:00 - 20:00","화~일","월요일","지하철 6호선 한강진역 2번 출구에서 약 400m"," 유아인,한남동콘크리트, 한남, 스튜디오콘크리트,예술, 카페, 한류, 유아인전시회, 유아인카페,전시,이태원,복합문화공간, 한강진역",""
"27227","ko","시민청 관광안내소","https://korean.visitseoul.net/attractions/시민청-관광안내소/KOP027227?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027227","100-744 서울 중구 태평로1가 31 ","04524 중구 세종대로 110(신청사 지하 1층 시민청 내 인포데스크) ","+82-2-739-7755","","http://www.sta.or.kr","10:00~19:00(일요일 휴관)","","1월 1일, 설날?추석 당일 휴무","1?2호선 시청역 4번 출구","관광안내소,안내소,여행,시민청관광안내소,안내,시민청",""
"27195","ko","용산역관광정보센터","https://korean.visitseoul.net/attractions/용산역관광정보센터/KOP027195?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027195","140-780 서울 용산구 한강로3가 40-999 ","04377 서울 용산구 한강대로23길 55 (한강로3가, 용산역) ","+82-70-4224-4597","","","09:00-18:00","","","1호선?경의중앙선 용산역 4호선 신용산역 3번 출구","용산역관광정보센터,용산역,서울관광정보센터",""
"27191","ko","영등포관광정보센터","https://korean.visitseoul.net/attractions/영등포관광정보센터/KOP027191?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027191","150-798 서울 영등포구 영등포동4가 442 ","07305 서울 영등포구 영중로 15 (영등포동4가, 타임스퀘어) ","+82-2-2675-5600","","","(5월-10월) 09:00~20:00  (11월-4월) 10:00~19:00","","연중무휴 (설, 추석 당일 휴관)","1호선 영등포역 6번 출구 2호선 문래역 4번 출구","전시,안내,관광,영등포관광정보센터,영등포,VR체험,타임스퀘어,포토존,목화체험",""
"5507","ko","서울백제어린이박물관","https://korean.visitseoul.net/attractions/몽촌역사관/KOP005507?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005507","138-749 서울 송파구 방이동 88-3 ","05540 서울 송파구 올림픽로 424 (몽촌역사관) ","02-2152-5900","","http://baekjemuseum.seoul.go.kr/dreamvillage/","09:00~18:00","화~일","-월 -1월 1일","지하철 5호선 올림픽공원역 3번 출구,  1.2km      지하철 8호선 몽촌토성역 1번 출구,  1.4km ","움집터전시관,유물, 몽촌역사관, 역사,서울백제어린이박물관, 꿈나무영화마당, 몽촌토성역, 잠실, 박물관,올림픽공원역","장애인화장실,접근가능"
"26191","ko","동양방아간","https://korean.visitseoul.net/attractions/동양방아간/KOP026191?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP026191"," 서울 종로구 부암동 244-5 ","03020 서울 종로구 자하문로40길 77 (부암동) ","02-379-6987","","","09:00~17:00","매일","없음","지하철 경복궁역 3번 출구,  7022, 7012, 1020 지선버스 탑승. 부암동주민센터.무계원 정류장에서 하차 후 약 168m","부암동,흑임자인절미,쑥인절미,떡집,오래가게",""
"34859","ko","용산공원갤러리","https://korean.visitseoul.net/attractions/용산공원갤러리/KOP034859?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP034859"," 서울 용산구 한강로1가 1-1 ","04322 서울 용산구 한강대로 237 ","02-3785-2590","","http://blog.naver.com/yongsanpark_gallery","10:00 - 19:00","화요일 - 토요일","월요일, 일요일, 공휴일 휴무","1호선 남영역 1번 출구, 4호선 숙대입구역 7번 출구, 6호선 삼각지역 10번 출구","용산공원갤러리",""
"15109","ko","고궁을 찾다","https://korean.visitseoul.net/attractions/고궁을-찾다/KOP015109?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP015109","  ","  ","","","","","","","","창경궁, 창덕궁,고궁,경희궁,경복궁",""
"27380","ko","이음피움 봉제역사관","https://korean.visitseoul.net/attractions/iumpium-kr/KOP027380?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027380"," 서울 종로구 창신동 647-50 ","03097 서울 종로구 창신4가길 26 (창신동, 이음피움 봉제역사관) ","02-747-6471","","http://iumpium.com/","10:00~18:00 (17:30에 입장 마감)","화~일","-월요일 -공휴일","1호선 동대문역 1번 출구","동대문역, 창신동,도시재생, 문화역사공간,이음피움, 서울투어, 봉제산업, 봉제역사관","장애인화장실"
"24705","ko","국선옻칠","https://korean.visitseoul.net/attractions/2023083/KOP024705?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024705"," 서울 종로구 예지동 2-1 ","03195 서울 종로구 창경궁로 88 광장3층 2390호 ","02-2265-3372","","www.gs5701.com","09:00~18:30","평일","주말","지하철 1호선 종로5가역 8번 출구,  200m"," 나전칠기,오래가게, 종로, 서울미래유산, 광장시장, 제조도매, 명함케이스,자개보석함",""
"27471","ko","삼보원","https://korean.visitseoul.net/attractions/삼보원/KOP027471?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027471"," 서울 종로구 견지동 50-2 ","03144 서울 종로구 우정국로 53 (견지동) 삼보원","02-732-9904","","","09:00~19:00 ","매일","없음","지하철 3호선 안국역 6번 출구,  300m","조계사,향,불교용품,오래가게,승복,조각상,초",""
"46798","ko","서정 아트 서울","https://korean.visitseoul.net/attractions/2024-seojungart/KOP7u0294?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP7u0294"," 서울 강남구 논현동 270-38 ","06103 서울 강남구 봉은사로47길 12 (논현동) ","1644-1454","","https://seojung-art.com/ko/","10:00 ~ 18:00","화요일~토요일","일요일, 월요일 정기휴무, 법정공휴일 9/16~18 추석 연휴 휴무","지하철 9호선/ 수인분당선 선정릉역 1번 출구,  229m","갤러리,서정아트서울,서정아트,전시,강남전시,선정릉역",""
"46979","ko","창덕궁 후원 ","https://korean.visitseoul.net/attractions/2024-cdggarden/KOPh0fn38?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPh0fn38"," 서울 종로구 와룡동 2-71 ","03072 서울 종로구 율곡로 99 (와룡동, 창덕궁) ","02-3668-2300","","https://royal.khs.go.kr/ROYAL/contents/R702000000.do","한국어 11~2월 10:00~15:00 (1시간 간격으로 입장 가능)  3~10월 10:00~16:00 (1시간 간격으로 입장 가능)  영어 12~2월 10:30 / 11:30 / 14:30  3~11월 10:30 / 11:30 / 14:30 / 15:30  일본어 1~12월 13:30 (매주 수,금,일요일 운영)  중국어 1~12월 12:30 (매주 화,목,토요일 운영)  * 언어권별 입장 제한 1회당 100명 (인터넷 예매 50명+현장발매 50명) * 후원 외국인 관람 시간 내국인 입장 불가 (단, 외국인 동반자가 있는 경우 내국인 최대 2명까지 입장 가능)","화요일 ~ 일요일","매주 월요일 휴관(정기휴관일이 공휴일 및 대체휴일과 겹칠 경우에는 개방하며, 그다음의 첫번째 비공휴일이 정기휴일임) ","3호선 안국역 3번 출구에서 약 389m (도보 6분) ","정원,창덕궁,창덕궁후원",""
"45396","ko","서울기록문화관","https://korean.visitseoul.net/attractions/seoularchivalservices/KOPkr613y?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPkr613y"," 서울 중구 태평로1가 31 서울도서관 3층","04524 서울 중구 세종대로 110 (태평로1가, 서울특별시청) 서울도서관 3층","02-2133-2970 ","","https://lib.seoul.go.kr/rwww/html/ko/seoulArchRoom.jsp","09:00 ~ 18:00","화요일 ~ 일요일 ","월요일, 법정공휴일","1,2호선 시청역 5번 출구에서 53m (도보 1분)","서울도서관,기록,시청,문화,통통투어","장애인화장실,접근가능,엘리베이터,장애인 안내(휠체어 대여 및 기타)"
"27474","ko","서울상회","https://korean.visitseoul.net/attractions/서울상회/KOP027474?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP027474"," 서울특별시 중구 남창동 34-1 ","04528 서울 중구 남대문시장4길 2 ","02-778-8149","","","09:00~18:00","매일","없음","지하철 4호선 회현역 5번 출구,  254m","오래가게, 남대문시장, 기념품,송이버섯, 김,홍삼",""
"34420","ko","셋이서문학관","https://korean.visitseoul.net/attractions/셋이서-문학관/KOP034420?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP034420","  ","03308 서울시 은평구 진관길 23 셋이서문학관","02-355-5800","","http://museum.ep.go.kr","10:00 ~ 18:00 ","화요일-일요일","월요일","3,6호선 연신내역 3번 출구 / 시내버스(701,7211)로 환승 후 관사 입구 하차","셋이서-문학관",""
"43495","ko","세븐웰제화","https://korean.visitseoul.net/attractions/2023110/KOPqlzpr0?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPqlzpr0"," 서울 중구 의주로2가 61-12 ","04509 서울 중구 칠패로 6 ","02-711-9336","","sevenwell.modoo.at","월요일~금요일 09:00~18:00, 토요일 09:00~17:00","월요일~토요일","일요일","지하철 2/5호선 충정로역 4번 출구,  430m","오래가게, 기능성구두, 족저근막염깔창,건강구두, 서울역,기능성깔창, 맞춤깔창",""
"1427","ko","쇳대박물관","https://korean.visitseoul.net/attractions/쇳대박물관/KOP001425?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001425"," 서울 종로구 이화동 9-444 187-8","03088 서울 종로구 낙산성곽서1길 24 (이화동) ","02-755-6494","","http://ehwadong.com/","10:00~18:00","","매주 월요일","지하철 1/4호선 동대문역 1번 출구,  873m","혜화,쇳대박물관,박물관,전시,자물쇠,전통,역사,동대문",""
"49388","ko","롯데월드타워 물품보관소","https://korean.visitseoul.net/attractions/LuggageStorage26/KOPtdi6q6?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPtdi6q6"," 서울 송파구 신천동 29 ","05551 서울 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰) ","","","","","","","","롯데월드타워 물품보관소",""
"25927","ko","명신당필방","https://korean.visitseoul.net/attractions/명신당필방/KOP025927?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP025927"," 서울 종로구 관훈동 18 ","03148 서울 종로구 인사동길 34 ","02-736-2466","","https://www.myungsindang.co.kr/","09:30~19:00","매일","없음","지하철 1/3/5호선 종로3가역 5번 출구,  358m"," 붓, 인사동, 민화, 문인화, 벼루,서화재료판매,먹, 쌈지길,오래가게",""
"10946","ko","오보코 갤러리","https://korean.visitseoul.net/attractions/오보코-갤러리/KOP010944?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP010944","136-823 서울 성북구 성북동 26-4 오보코갤러리","02837 서울특별시 성북구 선잠로5길 15  (성북동) ","02-742-7768","","http://blog.naver.com/ovocogallery","평일 AM 11:00 ~ PM 05:00 토요일 AM 11:00 ~ PM 03:00","월요일~토요일","일요일","4호선 한성대입구역 5번 출구에서 약 1.3km (도보 23분)"," C&K다이아몬드, 문화행사, 프리미엄쥬얼리갤러리, 보스를지켜라, 오보코,한성대입구역, 드라마촬영지,오보코갤러리, 갤러리,보스를지켜라촬영지, 성북동",""
"24345","ko","정동극장","https://korean.visitseoul.net/attractions/jeongdong-theater-kr/KOP024345?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024345","100-120 서울 중구 정동 8-11 ","04518 서울 중구 정동길 43 (정동, 정동극장) ","02-751-1500","","https://www.jeongdong.or.kr/portal/main/main.do","","","","1, 2호선 시청역 12번 출구에서 약 440m (도보 6분) ","정동극장,시청역,타이거버스,극장,예술,시티투어버스,원각사,문화,광화문,서대문역,최초근대식극장",""
"34857","ko","서울기록원","https://korean.visitseoul.net/attractions/서울기록원/KOP034857?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP034857"," 서울 은평구 녹번동 7-1 ","03371 서울 은평구 통일로62길 7 (녹번동, 서울기록원) ","02-350-5600","","https://archives.seoul.go.kr","10:00 ~ 17:00","화요일-일요일","월요일","지하철 3/6호선 불광역 2번 출구,  370m","서울기록원",""
"1262","ko","카이스갤러리","https://korean.visitseoul.net/attractions/카이스갤러리/KOP001262?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001262","135-896 서울 강남구 신사동 638-9 1층","06017 서울 강남구 언주로174길 13 (신사동) 1층","0507-1402-0668 ","","https://www.instagram.com/caisgallery/","10:00-19:00","월요일~토요일","-일요일 -공휴일","수인분당선 압구정로데오역 6번 출구에서 약 523m (도보 7분) 3호선 압구정역에서 약 687m (도보 11분) ","경희대학교,전시,외대앞역,회기역,화성암,경희대자연사박물관,자연사박물관,유물,경희대,퇴작암,유럽산암석,박물관",""
"43436","ko","수유어묵공장","https://korean.visitseoul.net/attractions/2023006/KOPmuqfz0?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPmuqfz0","  ","01117 서울 강북구 도봉로67길 18 ","02-980-7488","","","08:00~21:00","매일","없음","지하철 4호선 미아역 8번 출구,  530m","미아동,오래가게,어묵,핫바,수유시장,수유전통시장,수제",""
"43438","ko","황해이발관","https://korean.visitseoul.net/attractions/2023008/KOPnjnrwi?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPnjnrwi"," 서울 강북구 미아동 791-1622 ","01108 서울 강북구 솔매로 35-1 (미아동) ","010-3189-9212","","","08:00 ~ 22:00 (휴게시간 12:00 ~ 17:00)","매일","없음","지하철 우이신설선 삼양역 2번 출구,  260m","이용원,미아동,강북구,오래가게,이발,이발관",""
